P	Disassembly lines are widely used in the remanufacturing industry, as they are the most suitable layout for the disassembly of large products as well as small products received in large quantities (Güngör and Gupta, 2002).
N	For example, the disassembly can be partial or complete, depending on whether all components are separated; some tasks might fail because of poor conditions or missing components in the end-of-life product; and, most of all, the disassembly process can be operated in many ways because it is not necessary to ensure the functionality of the product, i.e., multiple processing alternatives exist (Güngör and Gupta, 2002).
O	There are multiple ways to represent the processing alternatives for disassembly, such as Bourjault’s tree, state diagram, AND/OR graph (AOG) and task precedence diagram (TPD) (Lambert 2006).
P	This problem was first introduced and formulated by Koc et al. (2009) and is the simplest version of the DLBP using an AOG representation on which many succeeding studies were based (Paksoy et al. 2013; Aydemir-Karadag and Turkbey 2013; Hezer and Kara 2015).
O	The ALBP has been intensively studied in the literature, whereas studies on the DLBP are relatively sparse. A recent literature review of the line balancing problem was provided by Battaïa and Dolgui (2013). Güngör and Gupta (1999) were among the first to consider the DLBP.
O	The first type uses various modified versions of the TPD, e.g., disassembly precedence matrix (Güngör and Gupta 2001), TPD with AND/OR relations (Kalaycılar et al. 2016), TPD with sequence-dependent cost (Kalayci et al. 2016), etc., to represent the precedence relations among tasks.
O	Therefore, the algorithms for one type cannot be directly applied to the other..Here, we focus on the second type, where this work belongs. Koc et al. (2009) first formulated the DLBP using an AOG representation.
O	Paksoy et al. (2013) studied a mixed-model DLBP with three fuzzy goals.
O	Hezer and Kara (2015) proposed a network-based shortest route model for the DLBP with multiple parallel lines.
O	Özceylan et al. (2014) formulated a model for simultaneously optimising a reverse supply network design problem and the DLBP. Moreover, some models and algorithms have been proposed to address the DLBP with stochastic task times.
O	Aydemir-Karadag and Turkbey (2013) studied a stochastic DLBP with parallel stations that requires the cycle time constraint at each station to be obeyed with a given probability.
O	Bentaha et al. (2014a, 2014b, 2015a, 2015b) also investigated a stochastic DLBP, but with alternative assumptions. 
O	Bentaha et al. (2014a, 2014b) assumed that the overloading beyond the cycle time at each station can be compensated at a fixed cost rate, whereas Bentaha et al. (2015a, 2015b) used joint probabilistic constraints.
O	The only research that addressed the SDLBP-1 after Koc et al. (2009) was by Mete et al. (2016).
N	Except for the benchmark instance generation scheme proposed by Koc et al. (2009), only a handful of general AOGs can be found in the literature, and they are all small sized in the sense that less than 10 tasks are required to completely disassemble a product.
O	Our choice of the BB&R algorithm was motivated by the fact that the BB&R algorithm proposed by Sewell and Jacobson (2012) is a state-of-the-art algorithm for the SALBP-1.
P	Section 3 analyses the properties of the SDLBP-1 and gives some preliminary results, including an improved version of the DP approach of Koc et al. (2009) and a proof that shows that a special case of SDLBP-1 is polynomially solvable.
O	Since Koc et al. (2009) already gave a detailed description of the SDLBP-1, only a brief introduction is presented here.
O	An AOG is a directed graph composed of two types of nodes, called artificial nodes and normal nodes. Figure 1 is an illustration from Bentaha et al. (2014a).
P	If the processing time is subassembly-independent, then the AOG can be reduced to one or more TPDs and the SDLBP-1 can be solved by algorithms designed for the SALBP-1 (Koc et al. 2009).
P	For details about a formal IP model for the SDLBP-1, please refer to Koc et al. (2009).
N	Moreover, lower bounds can be derived from equation (1), as shown in Section 4, but they cannot be derived from the recursion in Koc et al. (2009).
P	Although Bentaha et al. (2015b) proved that the DLBP using an AOG representation is NP-hard in general, some special cases of SDLBP-1 might be polynomially solvable.
O	Koc et al. (2009) proposed a scheme for randomly generating benchmark instances with no parallel tasks, i.e., every task in the AOG generates at most one subassembly, |S(Bj)|≤1 for every ask j=1,…,N.
P	Many studies (Koc et al. 2009; Aydemir-Karadag and Turkbey 2013; Hezer and Kara 2015; Mete et al. 2016) generated instances with this scheme to test the performance of their respective algorithms.
P	According to a recent survey by Pereira (2015) on the lower bounds for the SALBP-1, relaxing the balancing problem to a bin-packing problem or to a single-machine scheduling problem are the two most popular ways to get lower bounds.
